title,handle,street,suburb,city,province,country,zip,phone,website,instagram_handle,tags,group,place_id,lat,long
Chocolate Fish Kaimoana,chocolate-fish-kaimoana,100 Shelly Bay Road,Wellington,Wellington,,NZ,6022,04 388 2808,http://www.chocolatefishcafe.co.nz/,,cafe,New Zealand,ChIJq99f4BavOG0RKlRarD_lgqU,-41.293734,174.8224462
Chocolate Frog,chocolate-frog,71 Miramar Avenue,Wellington,Wellington,,NZ,6022,04 388 8233,https://www.facebook.com/Chocolate-Frog-Cafe-1386902858225317/?ref=page_internal,,cafe,New Zealand,ChIJ9UqZSXivOG0RjO-lJWlLFgs,-41.3162055,174.8172943
Coco Coffee Bar,coco-coffee-bar,661 Pollen Street,Thames,Thames,,NZ,3500,07 8688616,https://www.facebook.com/Coco-Coffee-Bar-314841048721261/,,"cafe,stockist",New Zealand,ChIJI-E61zeBcm0RaNweSUrTqsk,-37.1365345,175.5408934
Coghill House Cafe,coghill-house-cafe,10 Coghill Street,Whitianga,Whitianga,,NZ,3510,07 866 0592,https://www.facebook.com/cafecoghillhouse/,cafecoghillhouse,cafe,New Zealand,ChIJq7K0lMpdcm0RFazaguryH0s,-36.8353638,175.7038545
Cucina,cucina,1 Tees st,South Hill,Oamaru,,NZ,9400,03-434 5696,https://www.cucinaoamaru.co.nz/,cucina_oamaru,cafe,New Zealand,ChIJPwn03M-ZKagRZIQ8THdgjF8,-45.078967,171.001415
Crave Cafe,crave-cafe,6 Morningside Drive,Auckland,Auckland,,NZ,1025,09-845 4714,http://cravecafe.co.nz/,cafecrave,"cafe,stockist",New Zealand,ChIJRaM5q65HDW0RYJIJV2BwOqM,-36.8754861,174.7363365
Crawford Road Kitchen,crawford-road-kitchen,"3/50 Esplanade, Inner Harbour",Gisborne,Gisborne,,NZ,4010,06 867 4085,http://crawfordroadkitchen.co.nz/,crawfordroadkitchen,cafe,New Zealand,ChIJMXBqRjZ4Zm0R1-KJShv53ig,-38.6712314,178.0296824
Creel Tackle House &amp; Cafe,creel-tackle-house-cafe,189 Taupahi Road,Turangi,Turangi,,NZ,3334,07 386 7929,http://www.creeltackle.com/,creeltackle,cafe,New Zealand,ChIJo4966X28a20Rg09cUDQuCIA,-38.9934077,175.8132571
Cuckoo Cocktail Emporium,cuckoo-cocktail-emporium,57 Customhouse Quay,Wellington,Wellington,,NZ,6011,04 473 3725,http://www.cuckoococktailemporium.co.nz/,cuckoococktailemporium,cafe,New Zealand,ChIJe-H4p9SvOG0Rog-6JZEDjC4,-41.2836154,174.7787384
Daily Daily,daily-daily,452 Karangahape Road,Auckland Central,Auckland Central,,NZ,1010,,https://www.facebook.com/dailydailycoffeemakers/,dailydailycoffee,cafe,New Zealand,ChIJOXIwX-pHDW0RFSAzLco51ww,-36.8585178,174.7551754
Dangerous Kitchen,dangerous-kitchen,46A Commercial Street,Takaka,Takaka,,NZ,7110,03 525 8686,http://www.dangerouskitchen.co.nz/,thedangerouskitchen.takaka,cafe,New Zealand,ChIJOatQ7iaPPG0RgE-Wch_jf_g,-40.8589264,172.8066824
Demi - Urgos,demi-urgos,865 Victoria Street,Hamilton,Hamilton,,NZ,3204,021 975 947,http://www.demiurgos.co.nz/,demiurgoshamilton,"cafe,stockist",New Zealand,ChIJrbbKeaEYbW0RMXVHGgtX_8s,-37.7808989,175.276917
Dispense Espresso,dispense-espresso,1005 Ferry Road,Christchurch,Christchurch,,NZ,8023,027 344 7992,https://www.facebook.com/DispenseEspresso/,dispense_espresso,cafe,New Zealand,ChIJIzW6FCiIMW0RNpJNIh_HELo,-43.5568743,172.7012678
Eat Corner,eat-corner,128 Wakefield Street,Te Aro,Wellington,,NZ,6011,04-499-5523,https://eat.net.nz/,,cafe,New Zealand,ChIJVYgM3davOG0RG6__7xnHtPU,-41.29003,174.777444
Ellis Cakes,ellis-cakes-limited,1 Bunny Street,Wellington,Wellington,,NZ,,027 728 7460,,,cafe,New Zealand,ChIJoUXdXSyuOG0RlqZNk4UEeT0,-41.278675,174.780138
Emperor's New Clothes,emperor-s-new-clothes,95B Dyers Pass Road,Christchurch,Christchurch,,NZ,6143,027 769 5888,https://www.facebook.com/Emperors-New-Clothes-Cafe-119541587341/,,"cafe,stockist",New Zealand,ChIJC6PZY8EgMm0RUg356JUHqpU,-43.5771792,172.6304343
Entice Cafe &amp; Catering,entice-cafe-catering,6 Dixon Street,Masterton,Masterton,,NZ,5810,06 377 3166,http://www.entice.co.nz/,,"cafe,stockist",New Zealand,ChIJXaC6EkghQW0RV-tUhYPa0AQ,-40.948521,175.665557
Espresso Room,espresso-room,9D Factory Road,Waimauku,Waimauku,,NZ,6011,09 411 7910,,,cafe,New Zealand,Eig5IEZhY3RvcnkgUmQsIFdhaW1hdWt1IDA4MTIsIE5ldyBaZWFsYW5kIhoSGAoUChIJVaUDDrkTDW0REilzacg0RkcQCQ,-36.7665571,174.4950247
Farro Fresh - Constellation Drive,farro-fresh-constellation-drive,"70 Parkway Drive, Mairangi Bay",Auckland,Auckland,,NZ,,09 478 0020 (1),http://www.farrofresh.co.nz/,farrofresh,stockist,New Zealand,ChIJsVyLdNU7DW0R4XeOUcpbFj4,-36.7504188,174.7289946
Farro Fresh - Epsom,farro-fresh-epsom,446 Manukau Road,Auckland,Auckland,,NZ,,09 360 0499,http://www.farrofresh.co.nz/,farrofresh,stockist,New Zealand,ChIJuW1FN51IDW0R2tk-9HvXTvc,-36.8937781,174.7745863
Farro Fresh - Grey Lynn,farro-fresh-grey-lynn,34 Westmoreland Street,Auckland,Auckland,,NZ,,09 360 0499,http://www.farrofresh.co.nz/,farrofresh,stockist,New Zealand,ChIJ_4tuR55HDW0RyUQDqzhZYKU,-36.8555972,174.7329196
Farro Fresh - Lunn Avenue,farro-fresh-lunn-avenue,80 Lunn Avenue,Auckland,Auckland,,NZ,,09 570 7071 (26714),http://www.farro.co.nz/,farrofresh,stockist,New Zealand,ChIJJ0_rhgxJDW0Rni9BXw3_ovw,-36.8908441,174.8335747
Farro Fresh - Orakei,farro-fresh-orakei,228 Orakei Road,Auckland,Auckland,,NZ,,09 360 0499,http://www.farro.co.nz/,farrofresh,stockist,New Zealand,ChIJvz1GHUpIDW0RiNPH3YJkSnM,-36.86328,174.8101879
Federal Delicatessen,federal-delicatessen,88 Federal Street,Auckland,Auckland,,NZ,6011,09 363 7184,http://www.thefed.co.nz/,federaldelicatessen,cafe,New Zealand,ChIJIzdHD_BHDW0RAyBa8UqGa84,-36.8490283,174.7626758
Figaro's,figaro-s,8 Scott Street,Blenheim,Blenheim,,NZ,6011,03 577 7277,https://www.facebook.com/Figaros-Cafe-185977604771496/,,cafe,New Zealand,ChIJobJtppkUOW0Rus5GHPma91w,-41.5147077,173.9566609
Floriditas,floriditas,161-163 Cuba Street,Wellington,Wellington,,NZ,6140,381 2212,http://www.floriditas.co.nz/,floriditas?hl=en,cafe,New Zealand,ChIJ5yq0NtivOG0R2PHu2xKDRZg,-41.2938737,174.7755452
Floyd's,floyd-s,130A The Parade,Wellington,Wellington,,NZ,6140,04 383 7872,,,"cafe,stockist",New Zealand,ChIJ13-CtbK6OG0RbW1lSfuZW3A,-41.3340562,174.7731688
Fluid Espresso,fluid-espresso,138 UNION STREET,Dunedin,Dunedin,,NZ,6140,03-474 0464,,fluid.espresso?hl=en,"cafe,stockist",New Zealand,ChIJn1z1u2msLqgR9R4fafR40dI,-45.8664017,170.517757
Foxtrot Parlour,foxtrot-parlour,2 Richmond Road,Auckland,Auckland,,NZ,1010,09 378 7268,,,cafe,New Zealand,ChIJbfK6jZZHDW0R6eNBOsL1H3I,-36.8567992,174.7464628
Frank and Albie's - Gladstone Road,frank-and-albie-s-gladstone-road,24 Gladstone Road,Gisborne,Gisborne,,NZ,1010,06 867 7847,http://frankandalbie.co.nz/,frankandalbie?hl=en,cafe,New Zealand,ChIJuYyo4zl4Zm0Rit7YYN70OYU,-38.6676636,178.0273011
Garth Eddy,garth-eddy,7 Ngauranga Gorge Road,Wellington,Wellington,,NZ,,04 499 1603,,,cafe,New Zealand,ChIJmZkbOdWtOG0RcCLGxs76boY,-41.2429543,174.8143174
Garth Eddy,garth-eddy,44 Tacey Street,Kilbernie,Wellington,,NZ,6022,,,,cafe,New Zealand,ChIJc_ImdY6vOG0RJ6jCvr7Ucus,-41.315276,174.799662
Gipps St Deli,gipps-st-deli,4 Gipps Street,Wellington,Wellington,,NZ,5040,04 476 4741,http://gippsstdeli.squarespace.com/,gippsstreetdeli?hl=en,"cafe,stockist",New Zealand,ChIJqwZwsE6wOG0RZp2K63Nabyo,-41.2873373,174.7466126
Gipsy Kitchen,gipsy-kitchen,4 Glamis Avenue,Wellington,Wellington,,NZ,5040,04 388 4455,https://m.facebook.com/Gipsy-Kitchen-166251323428395/,,cafe,New Zealand,ChIJu0_d9X2vOG0RcselUPvJ1SM,-41.3247416,174.821355
Gipsy Kitchen,gipsy-kitchen,Left Bank Mall,Te Aro,Wellington,,NZ,6011,5 388 4455,https://m.facebook.com/Gipsy-Kitchen-166251323428395/,,Cafe,New Zealand,Ei9MZWZ0IEJhbmssIFRlIEFybywgV2VsbGluZ3RvbiA2MDExLCBOZXcgWmVhbGFuZCIuKiwKFAoSCbWgLoLXrzhtESnOpb_7NvQnEhQKEgltfAvq2a84bRGgMKNDYe8ABQ,-41.292678,174.775923
Good Day,good-day,3/78 Coates Ave,Auckland,Auckland,,NZ,6011,09 529 5048,https://www.facebook.com/gooddayorakei/,good_day_cafe,"cafe,stockist",New Zealand,EjMzLzc4IENvYXRlcyBBdmUsIE9yYWtlaSwgQXVja2xhbmQgMTA3MSwgTmV3IFplYWxhbmQiHRobChYKFAoSCd909kozSA1tEWY3glA8Da4pEgEz,-36.8561699,174.8149205
Grey St Kitchen,grey-st-kitchen,355 Grey Street,Hamilton,Hamilton,,NZ,6146,07 959 1854,https://www.facebook.com/greystkitchen/,greystkitchen?hl=en,"cafe,stockist",New Zealand,ChIJ1_5Q4ckYbW0RuYburEZYoDE,-37.7935724,175.2932302
Ground Floor,ground-floor,47 Riccarton Road,Christchurch,Christchurch,,NZ,6146,03 343 0048,https://www.facebook.com/groundfloorcafeGFC/,ground_floor_cafe,cafe,New Zealand,ChIJcW3oGF-KMW0RH1gt8wYsIH4,-43.5293714,172.6073924
Hero,hero,66 New North Road,Auckland,Auckland,,NZ,,021 183 6849,https://www.herosandwich.co.nz,herosandwichhouse?hl=en,cafe,New Zealand,ChIJaxfLBcRHDW0RKwgzgPjd6Hk,-36.8660579,174.7581655
Hemi,hemi,"Unit 1, Victoria Park Markets",Auckland CBD,Auckland,,NZ,,(09) 366 4760,https://hemieatery.com/,hemi_eatery,cafe,New Zealand,ChIJOSB5kfJHDW0RfB_dmo5TQY4,-36.847922,174.753724
Black Doris,black-doris,10 Waterloo Quay,Pipitea,Wellington,,NZ,6011,04-471 2766,https://www.blackdoris.nz/,blackdorisfood,cafe,New Zealand,ChIJJ_F5ZcWvOG0RQaTXTQkW0uE,-41.281344,174.780139
Honey Bones,honey-bones,480 Richmond Road,Auckland,Auckland,,NZ,8011,N/A,http://www.honeybones.co.nz/,Follow,cafe,New Zealand,ChIJ1fjFAqBHDW0ReFZowKaF_AQ,-36.8592451,174.7321678
Hummingbird,hummingbird,22 Courtenay Place,Wellington,Wellington,,NZ,8011,801 6336,http://www.hummingbird.net.nz/,,cafe,New Zealand,ChIJtaaSo9qvOG0RZujTkU-ltcU,-41.293725,174.782793
Jo's Pies,jo-s-pies,28 Cleveland Street,Wellington,Wellington,,NZ,,04 384 4934,https://www.facebook.com/Jos-Place-649718925080699/,,cafe,New Zealand,ChIJ9T1bUxiwOG0RaW6Uj2xhgRg,-41.3048659,174.7651397
Johnny Feedback,johnny-feedback,61 Pitt Street,Auckland,Auckland,,NZ,,021 056 0209,https://m.facebook.com/johnnyfeedbackyeah/,,"cafe,stockist",New Zealand,ChIJBfiJdOlHDW0R7BcRNUmM544,-36.8573596,174.7588146
Kai Whakapai,kai-whakapai,Cnr Ardmore &amp; Helwick Streets,Wanaka,Wanaka,,NZ,,03 443 7795,https://www.facebook.com/pages/Kai-Whaka-Pai/167375443287638,,"cafe,stockist",New Zealand,ChIJl7LoUEVP1akRiaJvEJ3ddyA,-44.694893,169.1346373
Le Marche Cafe,le-marche-cafe,"Woolstore Level 1,262 Thorndon Quay",Wellington,Wellington,,NZ,,04 499 1834,http://www.lemarche.co.nz/,lemarchefrancais,cafe,New Zealand,ChIJY0engy-uOG0RIHIKBMIon9g,-41.2688743,174.7810898
Legato Espresso Cafe,legato-espresso-cafe,"1 Willeston Street, Axon House",Wellington,Wellington,,NZ,,473 7979,,,cafe,New Zealand,ChIJFdIODtSvOG0Rze1su1zOlpE,-41.287143,174.777954
Licorice,licorice,57 State Highway 1 RD2,Taupo,Taupo,,NZ,,07 386 5551,https://www.facebook.com/pages/Licorice-Cafe/1915129031874947,,cafe,New Zealand,ChIJ_9k3Fz--a20RwJLJhxOlR8g,-38.9339098,175.8726433
Light House Cuba,light-house-cuba,29 Wigan Street,Wellington,Wellington,,NZ,,04 385 3337,http://www.lighthousecinema.co.nz/,,cafe,New Zealand,ChIJQQGJ79ivOG0R3zKMN9ZpsI0,-41.2961999,174.7752245
Light House Petone,light-house-petone,52 Beach Street,Petone,Lower Hutt,,NZ,,04 939 2061 (0),http://www.lighthousecinema.co.nz/,,cafe,New Zealand,ChIJRQJMvL-rOG0RaZ4zE8CyJKQ,-41.225856,174.880333
Little Long,little-long,43 Spring Street,Tauranga,Tauranga,,NZ,,022 541 1220,https://www.facebook.com/pages/Little-Long/671672859629982,,"cafe,stockist",New Zealand,ChIJo4ejld3bbW0Rd6p0O8oLWZc,-37.6842156,176.1686309
Loretta,loretta,"181 Cuba Street,",Wellington,Wellington,,NZ,,04 384 2213,http://www.loretta.net.nz/,lorettaoncuba,cafe,New Zealand,ChIJ7ZGcSNivOG0RCswCQ6nXUYg,-41.2943088,174.775178
Luca,luca,90 Maunganui Road,Tauranga,Tauranga,,NZ,,07 575 0780,https://lucacoffeeshop.com/,http:instagram.comlucacoffeeshop,"cafe,stockist",New Zealand,ChIJrR67cJnebW0RZyEiCY36zQM,-37.6363373,176.1824083
Machete Coffee,machete-coffee,9 Boulcott Street,Wellington,Wellington,,NZ,,022 643 2234,http://www.machetecoffee.co.nz/,machetecoffee?hl=en,"cafe,stockist",New Zealand,ChIJZf41FNavOG0RHer4AUZXlz0,-41.2892325,174.7741328
Mapua Village Bakery,mapua-village-bakery,66 Aranui Road,Mapua,Mapua,,NZ,,03 540 3656,http://www.mapuavillagebakery.co.nz/,mapuavillagebakery,cafe,New Zealand,ChIJM2bPnhSQO20RhLu_Ruh0VEA,-41.2530572,173.0956489
Me &amp; You,me-you,48 First Avenue,Tauranga,Tauranga,,NZ,,07 577 0567,,,"cafe,stockist",New Zealand,ChIJheAOhtvbbW0RP5uFdPgBQkk,-37.6885919,176.1681314
Miann - Britomart,miann-britomart,37 Galway Street,Auckland,Auckland,,NZ,5010,021 2048250,http://www.miann.co.nz/,miann_britomart?hl=en,cafe,New Zealand,ChIJVe5XH_xHDW0R4WWmIZACc0w,-36.8450162,174.7692969
Miann - Fort Street,miann-fort-street,57 Fort Street Ground Level,Auckland,Auckland,,NZ,5010,021 261 8172,http://www.miann.co.nz/,miann_fortstreet?hl=en,cafe,New Zealand,ChIJSeymbvxHDW0R-sg0IfFX21s,-36.8463576,174.7690367
Mister D Dining,mister-d-dining,47 Tennyson Street,Napier,Napier,,NZ,5010,06 835 5022,http://www.misterd.co.nz/,misterddining?hl=en,cafe,New Zealand,ChIJ6WlL1dhMaG0R4fcWXsN_8yw,-39.489471,176.9173173
Moore Wilson's Masterton,moore-wilsons-masterton,"120 Dixon Street, Masterton",Wellington,Wellington,,NZ,5810,06 377 5194,http://www.moorewilsons.co.nz/,moorewilsons,"cafe,stockist",New Zealand,ChIJ95ZWwTMhQW0RNmeKbrPH0Aw,-40.953611,175.657606
Moore Wilson's Porirua,moore-wilsons-porirua,65-69 Kenepuru Drive,Porirua,Porirua,,NZ,5010,04 237 8320,http://www.moorewilsons.co.nz/,moorewilsons,"cafe,stockist",New Zealand,ChIJCzoyvkBTP20REMYKCkaXamE,-41.1491418,174.8370633
Moore Wilson's Wellington,moore-wilsons-wellington,24 College Street,Wellington,Wellington,,NZ,6011,384 9906,http://www.moorewilsons.co.nz/,moorewilsons,"cafe,stockist",New Zealand,ChIJQ80MTNqvOG0R7pRqmIy6YLI,-41.295909,174.780179
Mottletop,mottletop,Shop 1293 - 297 Great South Road,Auckland,Auckland,,NZ,6011,09 296 6941,https://www.facebook.com/mottletop/,,"cafe,stockist",New Zealand,EkJTaG9wIDEyOTMvMjk3IEdyZWF0IFNvdXRoIFJkLCBQYXBha3VyYSwgQXVja2xhbmQgMjExMCwgTmV3IFplYWxhbmQiJRojChYKFAoSCU2lZ2rUrHJtEefBPHgL_-QqEglTaG9wIDEyOTM,-37.0653355,174.943839
Muirs Bookshop and Cafe,muirs-bookshop-and-cafe,62 Gladstone Road,Gisbourne,Gisbourne,,NZ,5010,06 867 9742,https://www.muirsbookshop.co.nz/,,stockist,New Zealand,ChIJ0yUKHTp4Zm0Ru3ydw220UeA,-38.6670371,178.0264315
New York Grill,new-york-grill,Westfield Mall,Newmarket,Auckland,,NZ,,09 215 8971,https://www.newyorkgrill.co.nz/,https://www.instagram.com/newyorkgrillnz,cafe,New Zealand,ChIJV_r0HKdJDW0R4bCUtAJCIbY,-36.871799,174.776427
Oaken,oaken,538a Great King Street,Dunedin,Dunedin,,NZ,5010,03 2607053,https://oaken-cafe.business.site/,oakenotepoti,cafe,New Zealand,ChIJIf7VhW-sLqgRej_1nxD9fkE,-45.8632811,170.5112005
Olaf's Artisan Bakery &amp; Cafe,olaf-s-artisan-bakery-cafe,1 Stokes Road,Auckland,Auckland,,NZ,5010,09 638 7593,http://olafs.co.nz/,olafsartisanbakeryandcafe?hl=en,"cafe,stockist",New Zealand,ChIJo_59U81HDW0RNjBPIxM4INA,-36.8817575,174.7625667
On Site Coffee,on-site-coffee,64C Miro St,Taupo,Taupo,,NZ,5010,022 343 2944,https://www.facebook.com/onsitecoffeetaupo/,,cafe,New Zealand,ChIJ8bSegBL6a20RYyqQY8kBrBY,-38.6871183,176.1053702
Onehunga Cafe,onehunga-cafe,259 Onehunga Mall,Auckland,Auckland,,NZ,5010,09 636 0371,http://www.onehungacafe.co.nz/,onehungacafe?hl=en,cafe,New Zealand,ChIJa5DgI7JIDW0RRqO4R6FJqAE,-36.9208505,174.7852976
Orphans Kitchen,orphans-kitchen,118 Ponsonby Road,Auckland,Auckland,,NZ,5010,09 378 7979,http://orphanskitchen.co.nz/,orphanskitchen?hl=en,"cafe,stockist",New Zealand,ChIJ2ZQM05VHDW0RY1aAhR3IP7Q,-36.8572814,174.7476397
Ostro Brasserie &amp; Bar,ostro-brasserie-bar,"Level 2 Seafarers Building, 52 Tyler Street",Auckland,Auckland,,NZ,5010,09 302 9888,http://seafarers.co.nz/,,cafe,New Zealand,ChIJaXZopP5HDW0Rk-V_XtMbHOU,-36.8443658,174.769958
Pandoro - Allen Street,pandoro-allen-street,2 Allen Street,Wellington,Wellington,,NZ,5010,04 385 4478,http://www.pandorowellington.co.nz/,pandorowellington,cafe,New Zealand,ChIJy7UKe9atOG0RML0snByEXK4,-41.2926461,174.782447
Pandoro - Willis St,pandoro-willis-st,89 Willis St,Wellington,Wellington,,NZ,5010,04 473 42 30,http://www.pandoro.co.nz/,pandorowellington,cafe,New Zealand,ChIJpU--btavOG0R7Z-_JxWnX4o,-41.2888334,174.7751219
Pandoro - Woodward St,pandoro-woodward-st,14 Woodward Street,Wellington,Wellington,,NZ,5010,04 472 5223,http://www.pandoro.co.nz/,pandorowellington,cafe,New Zealand,ChIJafFjxCquOG0RPaLwyzh6UZM,-41.2819938,174.7751094
